Latitude, Longitude, Elevation, HorasDisconfort
-0.47, -76.98, 256.00, 3640
-0.15, -78.48, 2812.00, 6074
-3.27, -79.05, 2865.00, 5338
-2.18, -79.92, 75.00, 2749
-0.92, -78.67, 2906.00, 5494
-4.06, -80.11, 758.00, 3566
-1.77, -77.89, 853.00, 3754
-4.45, -79.45, 1306.00, 4229
-3.64, -78.98, 1758.00, 3247
0.93, -78.75, 174.00, 2380
0.46, -78.53, 2098.00, 5435
-3.26, -79.27, 1412.00, 4163
-1.05, -80.32, 68.00, 1966
-2.36, -78.64, 3605.00, 6287
-0.12, -76.18, 236.00, 2872
-1.01, -77.54, 409.00, 3103
-3.97, -80.06, 1043.00, 3889
-0.30, -78.43, 2467.00, 4975
-0.85, -78.49, 3818.00, 6429
-2.19, -78.85, 2279.00, 5190
-0.61, -76.50, 239.00, 2952
-1.95, -79.55, 10.00, 2383
-0.29, -78.94, 1191.00, 3930
-0.45, -78.65, 3089.00, 5762
-0.54, -78.61, 3229.00, 5803
-2.22, -78.26, 1553.00, 3963
0.76, -78.58, 1539.00, 5351
-0.38, -78.49, 2643.00, 5045
-2.63, -78.53, 2050.00, 5189
-4.60, -79.39, 2893.00, 5395
-3.88, -79.69, 1461.00, 4199
-3.43, -78.79, 2360.00, 5501
-1.22, -78.66, 3210.00, 5831
-3.34, -79.52, 1654.00, 3119
-1.06, -80.28, 136.00, 1980
-1.26, -78.61, 2643.00, 5395
-1.26, -77.66, 545.00, 3347
-1.64, -79.06, 3016.00, 6213
-0.67, -77.38, 469.00, 3168
-3.77, -79.83, 672.00, 3344
-1.37, -80.31, 172.00, 2138
0.46, -80.02, 58.00, 2122
1.17, -78.77, 21.00, 2397
0.41, -78.02, 2073.00, 5057
-1.43, -80.51, 550.00, 3204
0.95, -79.11, 48.00, 2347
1.41, -78.86, 10.00, 2490
-2.31, -80.88, 31.00, 2593
-1.12, -78.91, 3334.00, 6159
-0.84, -80.25, 28.00, 1914
0.22, -78.08, 2863.00, 5276
-1.10, -78.60, 2692.00, 5547
-1.66, -79.79, 16.00, 2473
0.42, -78.42, 2389.00, 5270
-1.83, -78.03, 1072.00, 4059
-3.63, -79.61, 1468.00, 4306
-0.73, -78.18, 3439.00, 6261
-3.56, -80.04, 83.00, 2503
-1.48, -80.31, 245.00, 2626
-0.08, -78.26, 3057.00, 5270
-3.23, -79.25, 1710.00, 3551
-2.53, -78.31, 1657.00, 4305
0.81, -79.82, 100.00, 2213
-2.32, -80.77, 41.00, 2656
0.81, -78.95, 140.00, 2352
-1.21, -78.60, 2652.00, 5441
0.15, -78.34, 2571.00, 5149
-0.04, -79.96, 154.00, 2140
0.33, -78.21, 2430.00, 5026
-1.17, -78.63, 3208.00, 5906
-1.15, -80.27, 83.00, 2015
-3.58, -79.73, 2113.00, 4975
-2.72, -78.82, 2893.00, 5264
-1.80, -79.69, 6.00, 2488
-1.85, -79.51, 5.00, 2445
-0.76, -80.19, 12.00, 2033
-0.49, -77.97, 3193.00, 6102
-0.69, -80.40, 220.00, 2347
-2.89, -79.73, 37.00, 2390
-1.76, -79.15, 1147.00, 4414
-2.98, -79.22, 3522.00, 6395
-1.43, -78.42, 2693.00, 5479
-1.21, -78.47, 3325.00, 5977
-3.17, -79.87, 4.00, 2377
-0.75, -79.79, 148.00, 2200
-0.97, -78.56, 3140.00, 5728
-3.76, -79.86, 595.00, 3189
-3.52, -79.86, 76.00, 2267
-3.51, -79.96, 26.00, 2268
-4.52, -79.46, 1651.00, 4588
-3.88, -78.62, 1588.00, 4241
-0.35, -90.52, 1000.00, 3529
-1.34, -78.58, 2772.00, 5483
-3.28, -78.76, 2631.00, 5567
-2.67, -78.91, 3021.00, 5616
-1.47, -78.49, 2865.00, 5403
-1.83, -79.16, 1977.00, 5865
-4.13, -80.33, 565.00, 3410
-1.39, -78.55, 3004.00, 5598
0.49, -77.89, 2550.00, 5281
-3.47, -78.53, 1092.00, 3954
1.02, -79.00, 23.00, 2388
-0.55, -80.17, 220.00, 2414
-3.90, -79.72, 1110.00, 3925
-3.37, -79.83, 24.00, 2151
-2.72, -78.77, 2565.00, 5199
-1.71, -78.71, 3269.00, 5913
0.52, -78.26, 2511.00, 5198
0.05, -78.52, 2869.00, 5393
-0.92, -80.06, 159.00, 2067
-0.09, -78.42, 2700.00, 4934
-1.62, -78.75, 3205.00, 5808
-1.61, -79.22, 703.00, 3561
0.96, -79.51, 81.00, 2294
-3.05, -79.65, 1209.00, 4287
-1.62, -80.38, 167.00, 2297
-0.78, -78.72, 3561.00, 5963
-1.58, -77.72, 472.00, 3244
-0.09, -78.15, 3495.00, 5756
-3.95, -79.72, 2244.00, 5129
-2.54, -78.98, 3577.00, 6309
-1.80, -78.96, 3147.00, 6032
-0.41, -80.39, 102.00, 2012
-0.80, -80.06, 143.00, 2134
-4.10, -79.30, 1641.00, 4420
-3.79, -79.76, 632.00, 3310
-0.61, -75.88, 207.00, 2718
-2.31, -78.93, 2360.00, 5456
-1.69, -79.44, 14.00, 2358
-3.63, -80.16, 86.00, 2507
-1.16, -77.94, 964.00, 3940
0.65, -78.22, 2486.00, 5227
1.13, -78.74, 45.00, 2391
-3.35, -79.71, 245.00, 2654
-4.02, -79.76, 972.00, 3770
-1.77, -80.47, 513.00, 3050
-4.08, -79.65, 2216.00, 4912
-3.97, -79.35, 1543.00, 4337
-1.59, -79.48, 11.00, 2457
0.00, -78.07, 3605.00, 5907
-2.05, -78.55, 4021.00, 6545
-4.15, -79.95, 1144.00, 3936
-1.35, -78.61, 2872.00, 5467
-3.53, -80.17, 23.00, 2522
-3.87, -79.63, 858.00, 3630
0.42, -77.96, 1698.00, 5086
-1.75, -78.54, 3843.00, 6501
-2.36, -80.52, 121.00, 2609
-4.24, -79.53, 1638.00, 4409
-3.88, -79.32, 2394.00, 5311
-4.06, -80.04, 1216.00, 4088
-0.79, -80.45, 111.00, 1953
-2.93, -79.39, 1984.00, 5457
0.13, -78.40, 2273.00, 5023
-0.16, -78.26, 3231.00, 5508
-2.73, -79.03, 3751.00, 6410
-0.06, -79.75, 219.00, 2608
-2.81, -78.75, 2854.00, 5322
-3.65, -78.75, 2172.00, 5214
-2.01, -77.97, 967.00, 3964
-3.44, -79.63, 1855.00, 3849
-2.01, -79.08, 2314.00, 6081
0.77, -79.56, 22.00, 2201
